,MLSNumber,Street,City,Price,BR,Bath,Footage
0,1073168,266 Rodeo,Arroyo Grande,775000,3,2,2500.0
1,1073158,4683 Morales,New Cuyama,149000,5,3,1400.0
2,1073160,2036 Summit,Paso Robles,585000,3,3,2464.0
3,1073159,802 Vista Grande,Paso Robles,639000,5,5,2831.0
4,1073157,853 Fellowship,Santa Barbara,1199900,3,3,1440.0
5,1073164,610 Sunrise,Santa Maria,239900,3,2,1128.0
6,1073166,309 Dressler,Santa Maria,457901,3,2,1570.0
7,1073165,1888 Silva,Santa Maria,536000,3,3,1725.0
8,1073153,9361 Riberena,Atascadero,419900,3,3,1999.0
9,1073156,435 Pico,San Simeon,790000,1,1,1100.0
10,1073142,731 Edgewood,Santa Maria,359900,3,2,1136.0
11,1073144,901 Sheffield,Cambria,369000,2,2,1529.0
12,1073146,3366 Via Arnez,Lompoc,295000,3,2,1247.0
13,1073125,901 Player,Paso Robles,380000,3,2,1154.0
14,1073147,1343 Amarone,Santa Maria,329500,3,2,1206.0
15,1073124,1242 Camino Del Robles,Atascadero,75000,2,1,643.0
16,1073132,1228 Camino Del Robles,Atascadero,185000,2,2,1080.0
17,1073134,1207 Fallen Leaf,Atascadero,190000,2,2,1101.0
18,1073096,4100 Nogales,Atascadero,440000,3,2,1770.0
19,1073121,812 6th,Lompoc,329900,3,2,1272.0
20,1073145,912 Northpoint,Lompoc,351000,4,2,1600.0
21,1073123,1183 Santa Ynez,Los Osos,184000,1,1,538.0
22,1073095,1207 Dorothy,Paso Robles,379900,3,2,1026.0
23,1073138,132 Via Camelia,Paso Robles,529000,3,3,2073.0
24,1073133,9906 Sunfish,Paso Robles,619500,4,2,2327.0
25,1073140,1353 Costa Brava,Pismo Beach,1299000,3,2,2059.0
26,1073102,136 Middle,Santa Barbara,8250000,5,7,6630.0
27,1073143,1619 Western,Santa Maria,295000,3,2,1053.0
28,1073130,2410 Divide,Santa Maria,349000,3,2,1555.0
29,1073141,1751 Bilbao,Santa Maria,359000,3,3,2128.0
30,1073109,3680 Angeles,Santa Maria,365000,3,2,1322.0
31,1073129,308 Concord,Santa Maria,409777,4,3,2400.0
32,1073092,2920 Tall Pine,Santa Ynez,1115000,3,3,2788.0
33,1073098,765 Mesa View,Arroyo Grande,234900,3,2,1484.0
34,1073112,765 Mesa View,Arroyo Grande,249900,3,2,1421.0
35,1073104,120 Oak,Arroyo Grande,519000,3,2,1320.0
36,1073089,2050 Oak,Arroyo Grande,1149000,3,2,2291.0
37,1073011,7355 Graves Creek,Atascadero,399950,2,1,1296.0
38,1073107,13800 Santa Lucia,Atascadero,569000,3,2,1656.0
39,1073072,2540 Baseline,Ballard,1295000,3,2,1948.0
40,1073060,46 Cypress Glen,Cayucos,925000,3,3,2018.0
41,1073093,562 Manhattan,Grover Beach,449900,3,3,1450.0
42,1073120,5051 Bluebird,Paso Robles,154900,2,2,1105.0
43,1073106,5125 Bluebird,Paso Robles,288000,2,2,1124.0
44,1073115,1033 Par,Paso Robles,499900,3,2,2015.0
45,1073108,3235 Adelaida,Paso Robles,639000,2,1,1139.0
46,1073073,246 Ridge,Pismo Beach,675000,3,2,1425.0
47,1073081,344 Capistrano,Pismo Beach,2295000,4,4,3558.0
48,1073114,9221 Tassajara Creek,Santa Margarita,850000,3,3,1800.0
49,1073090,1520 Swallow,Santa Maria,325000,2,2,1368.0
50,1073127,952 David,Santa Maria,380000,3,2,1198.0
51,1073128,3806 Mira Loma,Santa Maria,389900,3,2,1568.0
52,1073080,1247 Camino Del Robles,Atascadero,235000,3,2,1608.0
53,1073075,7305 San Gabriel,Atascadero,575000,4,4,3005.0
54,1073077,63 Six Flags,Buellton,545000,3,2,1504.0
55,1073070,5176 Guildford,Cambria,527000,3,2,1473.0
56,1073099,4025 Ryan,Creston,675000,3,3,1947.0
57,1073045,1129 3rd,Lompoc,299900,3,2,1621.0
58,1073017,1213 Timothy,Lompoc,325000,3,3,1612.0
59,1073097,559 Mars,Lompoc,329900,3,2,1232.0
60,1073071,2905 Alta,Los Olivos,925000,3,4,2132.0
61,1073083,1606 Mackinnon,Out Of Area,1325000,4,3,1934.0
62,1072939,1941 Fieldstone,Paso Robles,484000,3,2,1775.0
63,1073042,146 Lafayette,Salinas,449000,3,3,1443.0
64,1073082,3960 Higuera,San Luis Obispo,215000,3,2,1200.0
65,1072749,3057 Higuera,San Luis Obispo,285000,2,2,1440.0
66,1073091,Address Not Available,San Luis Obispo,550000,2,3,1591.0
67,1073084,1650 Clark,Santa Maria,59900,2,2,1056.0
68,1073078,4750 Blosser,Santa Maria,179900,3,2,1900.0
69,1073068,212 Agnes,Santa Maria,279000,3,2,1317.0
70,1073085,466 Cory,Santa Maria,393000,3,2,1469.0
71,1073066,2240 Diesel,Santa Maria,399950,4,3,1822.0
72,1072877,5701 Calle de la Rosa,Santa Maria,539000,3,2,1892.0
73,1073087,206 Valhalla,Solvang,1375000,3,3,3157.0
74,1073069,917 Savannah,Grover Beach,580000,3,2,1823.0
75,1072903,2313 Carrizo,Lompoc,559000,5,4,2612.0
76,1073067,633 Laura,Paso Robles,355000,3,2,1174.0
77,1073032,5640 Pinehurst,San Luis Obispo,945000,4,3,2600.0
